#separator:tab
#html:false
#tags column:6
#deck:German Beginner (0-1000)
die	the	Das ist die einzige Lösung für uns.			lernflow
der	the, who, that	Das ist der, der es getan hat.			lernflow
und	and	Kaffee und Kuchen passen zusammen.			lernflow
in	in	In dem Haus wohnen viele Familien.			lernflow
sein	to be	Er ist heute sehr beschäftigt.			lernflow
ein	a	Er hat ein Buch in der Tasche gefunden.			lernflow
einer	one (of)	Einer der Gäste brachte ein Geschenk.			lernflow
eine	a, an	Ein Apfel liegt auf dem Tisch.			lernflow
haben	to have	Hast du eine Ahnung, wo sie ist?			lernflow
sie	she	Sie hat das Buch gestern fertig gelesen.			lernflow
werden	to become	Er wird bald der Direktor des Instituts.			lernflow
von	from	Ich habe einen Brief von dir erhalten.			lernflow
ich	I	Ich komme heute später nach Hause.			lernflow
nicht	not	Ich habe heute leider nicht viel Zeit.			lernflow
es	it	Kannst du es mir bitte morgen bringen?			lernflow
mit	with	Er kam mit seinem Hund ins Haus.			lernflow
das	the (neuter)	Das ist das Buch.			lernflow
sich	oneself	Sie hat sich im Spiegel angesehen.			lernflow
er	he	Er kommt gleich zurück, sagte sie.			lernflow
auf	on	Er stellte das Glas auf den Tisch.			lernflow
für	for	Ich habe ein Geschenk für dich.			lernflow
auch	also	Er ist auch am Wochenende beschäftigt.			lernflow
an	at	Er klopfte an die Tür und wartete.			lernflow
dass	that	Ich hoffe, dass er bald kommt.			lernflow
zu	to	Ich habe keine Zeit, zu kommen.			lernflow
als	as	Als er kam, begann es zu regnen.			lernflow
den	the (masc. acc.)	Ich sehe den Mann.			lernflow
können	to be able to	Er kann nicht kommen, weil er krank ist.			lernflow
dies	this	Dies ist mein letztes Angebot.			lernflow
wie	as	Er arbeitet genauso hart wie sie.			lernflow
wir	we	Wir schaffen das gemeinsam, oder?			lernflow
ihr	her, you (plural)	Ihr Hund bellt jeden Morgen im Garten.			lernflow
so	thus	Er machte es so, wie gesagt wurde.			lernflow
bei	by	Ich arbeite bei einer großen Firma.			lernflow
aber	but	Er wollte kommen, aber er konnte nicht.			lernflow
man	one	Man sollte immer ehrlich sein.			lernflow
noch	still	Er hat noch nicht entschieden.			lernflow
nach	after	Nach der Schule gehe ich nach Hause.			lernflow
oder	or	Willst du Tee oder Kaffee trinken?			lernflow
einen	a (acc.)	Ich habe einen Brief von dir erhalten.			lernflow
all	all, everything	All diese Fragen müssen geklärt werden.			lernflow
aus	out	Er zog das Buch aus der Tasche.			lernflow
was	what	Was genau willst du damit erreichen?			lernflow
nur	only	Ich habe nur noch zehn Minuten.			lernflow
sagen	to say	Ich wollte dir etwas Wichtiges sagen.			lernflow
dann	then	Dann gingen sie ins Restaurant.			lernflow
wenn	if	Wenn es regnet, bleibe ich zu Hause.			lernflow
müssen	to have to	Du musst das bis morgen erledigen.			lernflow
um	in order to	Er arbeitet, um Geld zu verdienen.			lernflow
ja	yes	Ja, ich komme sofort nach Hause.			lernflow
keine	no (one)	Keiner hat heute die Aufgabe erledigt.			lernflow
über	above	Er sprang über den Zaun schnell.			lernflow
da	there	Da liegt das Buch auf dem Tisch.			lernflow
geben	to give	Sie gibt ihm einen wichtigen Hinweis.			lernflow
vor	in front of	Vor dem Haus wartete ein Mann.			lernflow
dem	the (dat.)	Ich helfe dem Kind.			lernflow
mein	my	Mein Hund wartet immer vor der Tür.			lernflow
mehr	more	Ich brauche mehr Informationen.			lernflow
Jahr	year	Das Jahr verging schneller als erwartet.			lernflow
du	you	Du hast den besten Kuchen gebacken.			lernflow
durch	through	Er geht durch den dunklen Wald.			lernflow
viel	much	Viel kann man darüber nicht sagen.			lernflow
wollen	to want to	Ich will das morgen erledigen.			lernflow
machen	to do	Er macht das Frühstück für die Familie.			lernflow
andere	other	Der andere blieb im Auto sitzen.			lernflow
sollen	should	Du sollst deine Hausaufgaben machen.			lernflow
schon	already	Er hat schon angefangen zu essen.			lernflow
kommen	to come	Wann kommst du heute nach Hause?			lernflow
mir	me	Er hat mir die Wahrheit gesagt.			lernflow
immer	always	Ich trinke immer Kaffee am Morgen.			lernflow
mich	me	Er hat mich einfach ignoriert.			lernflow
gehen	to go	Wir müssen jetzt wirklich gehen.			lernflow
groß	big	Der Baum im Garten ist sehr groß.			lernflow
hier	here	Hier beginnt unsere lange Reise.			lernflow
ganz	whole	Ich habe den ganzen Tag gearbeitet.			lernflow
zwei	two	Zwei Stunden blieben uns noch übrig.			lernflow
einem	a (dat.)	Ich danke einem Freund.			lernflow
also	so	Also, wie lösen wir dieses Problem?			lernflow
jetzt	now	Jetzt ist der perfekte Moment.			lernflow
doch	however	Er wollte kommen, doch wurde krank.			lernflow
wieder	again	Er hat wieder das Gleiche gesagt.			lernflow
uns	us	Wir treffen uns morgen um acht Uhr.			lernflow
gut	good	Das Wetter ist heute wirklich gut.			lernflow
bis	until	Warte hier, bis ich zurück bin.			lernflow
wissen	to know	Ich wusste, dass es so kommen würde.			lernflow
sehen	to see	Er hat den Film schon gesehen.			lernflow
sehr	very	Er war sehr zufrieden mit dem Ergebnis.			lernflow
mal	times	Tausend mal tausend ist eine Million.			lernflow
lassen	to let	Er ließ mich die Arbeit machen.			lernflow
neu	new	Ich habe ein neues Buch gekauft.			lernflow
stehen	to stand	Er stand stundenlang vor dem Haus.			lernflow
