#separator:tab
#html:false
#tags column:6
#deck:German Intermediate (1001-2000)
stets	always	Er blieb stets freundlich zu allen.			lernflow
aufhören	to stop	Er hört endlich auf zu rauchen.			lernflow
schützen	to protect	Er schützt seine Familie vor Gefahren.			lernflow
diskutieren	to discuss	Sie diskutierten lange über das Thema.			lernflow
Ferse	heel	Die Ferse schmerzt beim Gehen.			lernflow
Sprecher	speaker	Der Sprecher erklärte die Lage.			lernflow
Lautsprecher	loudspeaker	Der Lautsprecher spielt Musik.			lernflow
produzieren	to produce	Die Fabrik produziert täglich Produkte.			lernflow
Kritik	criticism	Die Kritik an seiner Arbeit war scharf.			lernflow
erneut	again	Die erneute Prüfung lief fehlerfrei.			lernflow
Trainer	coach	Der Trainer motivierte die Mannschaft.			lernflow
April	April	Im April blühen die ersten Blumen.			lernflow
melden	to report	Sie meldete den Unfall der Polizei.			lernflow
wiederum	again	Er antwortete wiederum höflich.			lernflow
Opfer	sacrifice	Das Opfer wurde bald gefunden.			lernflow
hinaus	out	Er ging hinaus, um Luft zu schnappen.			lernflow
vorhanden	available	Die vorhandenen Probleme wurden gelöst.			lernflow
Westen	west	Der Westen der Stadt ist ruhiger.			lernflow
Titel	title	Der Titel des Buches weckt Interesse.			lernflow
Eindruck	impression	Der erste Eindruck war äußerst positiv.			lernflow
Baum	tree	Der Baum im Garten ist sehr alt.			lernflow
lauten	to be (answer)	Die Antwort lautet: Ja, das ist korrekt.			lernflow
Diskussion	discussion	Die Diskussion dreht sich im Kreis.			lernflow
hingegen	on the other hand	Er ist klug, sein Bruder hingegen nicht.			lernflow
Student	student	Der Student arbeitet und studiert.			lernflow
Bevölkerung	population	Die Bevölkerung wächst schnell.			lernflow
Finger	finger	Der Finger blutet nach dem Schnitt.			lernflow
Grüne	the Greens	Er engagiert sich für die Grüne.			lernflow
total	total	Der totale Stillstand war unerwartet.			lernflow
Abstand	distance	Der Abstand zwischen den Autos wächst.			lernflow
Schulter	shoulder	Er klopft ihm auf die Schulter.			lernflow
Maßnahme	measure	Die Maßnahme zeigt bereits Wirkung.			lernflow
Band	ribbon	Das Band reißt unter der Last.			lernflow
darunter	under it	Darunter lagen wichtige Dokumente.			lernflow
diejenige	the one (who	Sie ist diejenige, die mir half.			lernflow
Wald	forest	Wir haben im Wald viele Pilze gefunden.			lernflow
Insel	island	Die Insel ist nur per Boot erreichbar.			lernflow
Schluss	end	Das ist der Schluss des Buches.			lernflow
