entry,example_de,translation,cefr
das Ei,Das Ei kocht in heißem Wasser.,egg,
müde,Nach dem Lauf war ich sehr müde.,tired,A1
sparen,Er spart für ein neues Fahrrad.,to save,A2
quasi,Das Projekt ist quasi abgeschlossen.,almost,B1
Wiener,Die Wiener Oper ist weltbekannt.,Viennese,C1
blöd,Es war wirklich eine blöde Entscheidung.,stupid,A2
die Soziologie,Soziologie erklärt soziale Strukturen.,sociology,C2
tätig,Er ist seit Jahren in der Firma tätig.,active,B2
das Afghanistan,Afghanistan liegt in Südasien.,Afghanistan,B2
die Flucht,Die Flucht gelang trotz großer Gefahr.,flight,B1
absehen,Man konnte das Problem schon absehen.,to foresee,A2
das Afrika,Afrika hat viele verschiedene Kulturen.,Africa,B1
regional,Die regionale Küche war lecker.,regional,B1
strategisch,Die strategische Planung bringt Erfolg.,strategic,C1
exakt,Die exakte Zahl wurde genannt.,exact,B1
fortsetzen,Nach der Pause setzte er fort.,to continue,B1
steigern,Er steigerte seine Leistung deutlich.,to increase,B2
die Übersetzung,Die Übersetzung war fehlerfrei.,translation,A2
womöglich,Womöglich kommt er morgen zurück.,possibly,B1
das Argument,Sein Argument überzeugte die meisten.,argument,B1
berühren,Er berührt vorsichtig den heißen Topf.,to touch,A1
das Kino,Das Kino zeigt heute einen neuen Film.,cinema,A1
die Dauer,Die Dauer des Films ist zwei Stunden.,duration,B1
klappen,Der Plan klappte besser als erwartet.,to fold,A2
das Polen,Polen hat viele schöne Städte.,Poland,B2
golden,Die goldene Uhr gehört meinem Opa.,gold,A2
klären,Er klärt die Situation schnell.,to clear up,B1
sauber,Die Wohnung ist jetzt endlich sauber.,clean,A2
der Bahnhof,Der Bahnhof ist immer sehr belebt.,(railway) station,A1
die Bewertung,Die Bewertung der Arbeit war positiv.,assessment,C1
die Messung,Die Messung ergibt klare Werte.,measuring,C1
gewaltig,Der Sturm hinterließ gewaltige Schäden.,enormous,B1
relevant,Die Daten sind für die Studie relevant.,relevant,B2
das Israel,Israel ist ein Land im Nahen Osten.,Israel,B2
die Lippe,Sie biss sich nervös auf die Lippe.,lip,B1
die BRD,Die BRD feiert dieses Jahr ein Jubiläum.,Federal Republic (of Germany),C2
der Charakter,Er hat einen starken Charakter.,character,B1
antreten,Er tritt seine neue Stelle an.,to take up,B1
die Lehre,Die Lehre erklärt die Grundlagen.,apprenticeship,B1
aufpassen,Pass bitte auf die Kinder auf!,to pay attention,A2
die Verletzung,Die Verletzung am Knie heilte langsam.,injury,B1
die CSU,Die CSU gewinnt in Bayern viele Stimmen.,CSU,C2
der Direktor,Der Direktor begrüßte die Gäste.,director,B1
enttäuschen,Er enttäuscht seine Eltern nie.,to disappoint,B1
fangen,Er fing den Ball mit einer Hand.,to catch,B1
die Träne,Eine Träne rollt über seine Wange.,tear,B1
damalig,Die damalige Entscheidung war schwer.,at that time,C1
dreißig,Dreißig Minuten vergingen schnell.,thirty,
mathematisch,Die mathematische Lösung ist korrekt.,mathematical,C1
die Pflicht,"Es ist meine Pflicht, zu helfen.",duty,B1
realisieren,Er realisierte seinen Traum endlich.,to realize,B1
einrichten,Er richtete die Wohnung gemütlich ein.,to furnish,B1
der Käufer,Der Käufer verhandelte über den Preis.,buyer,B1
das Rennen,Das Rennen beginnt um zehn Uhr.,race,B1
der Täter,Der Täter wurde schnell gefasst.,culprit,B1
befreien,Er befreite den Vogel aus dem Käfig.,to free,A1
ordnen,Er ordnet die Akten alphabetisch.,to arrange,B1
die Bezeichnung,Die Bezeichnung war irreführend.,name,C1
verteidigen,Er verteidigte seine Position.,to defend,A2
der Anlass,Der Anlass der Feier war ihr Geburtstag.,occasion,B1
medial,Die mediale Präsenz des Events war groß.,media,C2
hauptsächlich,Er ist hauptsächlich beschäftigt.,mainly,B1
der Hersteller,Der Hersteller garantiert hohe Qualität.,manufacturer,B1
