entry,example_de,translation,cefr
die,Das ist die einzige Lösung für uns.,the,A1
der,"Das ist der, der es getan hat.","the, who, that",A1
und,Kaffee und Kuchen passen zusammen.,and,A1
in,In dem Haus wohnen viele Familien.,in,A1
sein,Er ist heute sehr beschäftigt.,to be,A1
ein,Er hat ein Buch in der Tasche gefunden.,a,A1
einer,Einer der Gäste brachte ein Geschenk.,one (of),A1
eine,Ein Apfel liegt auf dem Tisch.,"a, an",A1
haben,"Hast du eine Ahnung, wo sie ist?",to have,A1
sie,Sie hat das Buch gestern fertig gelesen.,she,A1
werden,Er wird bald der Direktor des Instituts.,to become,A1
von,Ich habe einen Brief von dir erhalten.,from,A1
ich,Ich komme heute später nach Hause.,I,A1
nicht,Ich habe heute leider nicht viel Zeit.,not,A1
es,Kannst du es mir bitte morgen bringen?,it,A1
mit,Er kam mit seinem Hund ins Haus.,with,A1
das,,the (neuter),A1
sich,Sie hat sich im Spiegel angesehen.,oneself,A1
er,"Er kommt gleich zurück, sagte sie.",he,A1
auf,Er stellte das Glas auf den Tisch.,on,A1
für,Ich habe ein Geschenk für dich.,for,A1
auch,Er ist auch am Wochenende beschäftigt.,also,A1
an,Er klopfte an die Tür und wartete.,at,A1
dass,"Ich hoffe, dass er bald kommt.",that,A2
zu,"Ich habe keine Zeit, zu kommen.",to,A1
als,"Als er kam, begann es zu regnen.",as,A2
den,,the (masc. acc.),A1
können,"Er kann nicht kommen, weil er krank ist.",to be able to,A1
dies,Dies ist mein letztes Angebot.,this,A1
wie,Er arbeitet genauso hart wie sie.,as,A1
wir,"Wir schaffen das gemeinsam, oder?",we,A1
ihr,Ihr Hund bellt jeden Morgen im Garten.,"her, you (plural)",A1
so,"Er machte es so, wie gesagt wurde.",thus,A1
bei,Ich arbeite bei einer großen Firma.,by,A1
aber,"Er wollte kommen, aber er konnte nicht.",but,A1
man,Man sollte immer ehrlich sein.,one,A1
noch,Er hat noch nicht entschieden.,still,A1
nach,Nach der Schule gehe ich nach Hause.,after,A1
oder,Willst du Tee oder Kaffee trinken?,or,A1
einen,Ich habe einen Brief von dir erhalten.,a (acc.),A1
all,All diese Fragen müssen geklärt werden.,"all, everything",A1
aus,Er zog das Buch aus der Tasche.,out,A1
was,Was genau willst du damit erreichen?,what,A1
nur,Ich habe nur noch zehn Minuten.,only,A1
sagen,Ich wollte dir etwas Wichtiges sagen.,to say,A1
dann,Dann gingen sie ins Restaurant.,then,A1
wenn,"Wenn es regnet, bleibe ich zu Hause.",if,A2
müssen,Du musst das bis morgen erledigen.,to have to,A1
um,"Er arbeitet, um Geld zu verdienen.",in order to,A1
ja,"Ja, ich komme sofort nach Hause.",yes,A1
keine,Keiner hat heute die Aufgabe erledigt.,no (one),
über,Er sprang über den Zaun schnell.,above,A1
da,Da liegt das Buch auf dem Tisch.,there,A1
geben,Sie gibt ihm einen wichtigen Hinweis.,to give,A1
vor,Vor dem Haus wartete ein Mann.,in front of,A1
dem,,the (dat.),A1
mein,Mein Hund wartet immer vor der Tür.,my,A1
mehr,Ich brauche mehr Informationen.,more,A1
das Jahr,Das Jahr verging schneller als erwartet.,year,A1
du,Du hast den besten Kuchen gebacken.,you,A1
durch,Er geht durch den dunklen Wald.,through,A1
viel,Viel kann man darüber nicht sagen.,much,A1
wollen,Ich will das morgen erledigen.,to want to,A1
machen,Er macht das Frühstück für die Familie.,to do,A1
andere,Der andere blieb im Auto sitzen.,other,
sollen,Du sollst deine Hausaufgaben machen.,should,A1
schon,Er hat schon angefangen zu essen.,already,A1
kommen,Wann kommst du heute nach Hause?,to come,A1
mir,Er hat mir die Wahrheit gesagt.,me,A1
