entry,example_de,translation,cefr
stets,Er blieb stets freundlich zu allen.,always,B1
aufhören,Er hört endlich auf zu rauchen.,to stop,A2
schützen,Er schützt seine Familie vor Gefahren.,to protect,B1
diskutieren,Sie diskutierten lange über das Thema.,to discuss,A2
die Ferse,Die Ferse schmerzt beim Gehen.,heel,B2
der Sprecher,Der Sprecher erklärte die Lage.,speaker,B2
der Lautsprecher,Der Lautsprecher spielt Musik.,loudspeaker,B1
produzieren,Die Fabrik produziert täglich Produkte.,to produce,B1
die Kritik,Die Kritik an seiner Arbeit war scharf.,criticism,B1
erneut,Die erneute Prüfung lief fehlerfrei.,again,B1
der Trainer,Der Trainer motivierte die Mannschaft.,coach,B1
der April,Im April blühen die ersten Blumen.,April,A2
melden,Sie meldete den Unfall der Polizei.,to report,B1
wiederum,Er antwortete wiederum höflich.,again,B2
das Opfer,Das Opfer wurde bald gefunden.,sacrifice,B1
hinaus,"Er ging hinaus, um Luft zu schnappen.",out,A2
vorhanden,Die vorhandenen Probleme wurden gelöst.,available,B2
der Westen,Der Westen der Stadt ist ruhiger.,west,A2
der Titel,Der Titel des Buches weckt Interesse.,title,A2
der Eindruck,Der erste Eindruck war äußerst positiv.,impression,B1
der Baum,Der Baum im Garten ist sehr alt.,tree,A1
lauten,"Die Antwort lautet: Ja, das ist korrekt.",to be (answer),A1
die Diskussion,Die Diskussion dreht sich im Kreis.,discussion,B1
hingegen,"Er ist klug, sein Bruder hingegen nicht.",on the other hand,B2
der Student,Der Student arbeitet und studiert.,student,A1
die Bevölkerung,Die Bevölkerung wächst schnell.,population,B1
der Finger,Der Finger blutet nach dem Schnitt.,finger,B1
die Grüne,Er engagiert sich für die Grüne.,the Greens,B1
total,Der totale Stillstand war unerwartet.,total,A2
der Abstand,Der Abstand zwischen den Autos wächst.,distance,B1
die Schulter,Er klopft ihm auf die Schulter.,shoulder,B1
die Maßnahme,Die Maßnahme zeigt bereits Wirkung.,measure,B2
das Band,Das Band reißt unter der Last.,ribbon,A2
darunter,Darunter lagen wichtige Dokumente.,under it,B1
diejenige,"Sie ist diejenige, die mir half.",the one (who,
der Wald,Wir haben im Wald viele Pilze gefunden.,forest,A2
die Insel,Die Insel ist nur per Boot erreichbar.,island,A2
der Schluss,Das ist der Schluss des Buches.,end,A1
anschließend,"Wir aßen, anschließend schliefen wir.",subsequent,B2
das Volk,Das Volk wählte einen neuen Anführer.,people,A1
kulturell,Die Stadt hat kulturelle Vielfalt.,cultural,A1
definieren,Er definierte die Begriffe präzise.,to define,B2
der September,September ist ein schöner Monat.,September,B1
der Beruf,Mein Beruf erfordert viel Verantwortung.,occupation,A1
der Ansatz,Der Ansatz war sehr vielversprechend.,approach,B2
nötig,Für den Job ist ein Abschluss nötig.,necessary,B1
herrschen,Der König herrschte viele Jahre.,to rule,A2
der Sieg,Nach einem langen Kampf kam der Sieg.,victory,B1
die Küche,Die Küche ist frisch renoviert worden.,kitchen,A1
verantwortlich,Er ist verantwortlich für das Projekt.,responsible,B1
täglich,Die tägliche Übung stärkte das Team.,daily,A2
der Montag,Am Montag beginnt die neue Woche.,Monday,A2
der Spaß,Der Ausflug hat allen viel Spaß gemacht.,fun,B1
herstellen,Die Firma stellt hochwertige Möbel her.,to produce,A2
überlegen,"Sie überlegen, ein Haus zu kaufen.",to consider,B1
der Mai,Im Mai feiern wir den Tag der Arbeit.,May,B1
umfassen,Das Buch umfasst viele Themen.,to include,C2
ernst,Er machte ein ernstes Gesicht.,serious,A1
der Roman,Der Roman wurde ein Bestseller.,novel,B1
der Januar,Der Januar bringt oft Schnee mit sich.,January,B2
neun,Neun Spieler fehlen beim Training.,nine,C2
kämpfen,Sie kämpfte tapfer gegen die Krankheit.,to fight,B1
jeweilig,Sie gingen zu ihren jeweiligen Häusern.,particular,C1
versprechen,"Er versprach, pünktlich zu sein.",to promise,B1
die Definition,Die Definition wurde im Text erläutert.,definition,B2
vollständig,Die Sammlung wird bald vollständig.,complete,B1
heben,Er hebt die Kiste vorsichtig an.,to lift,B1
der Rücken,Der Rücken schmerzt nach dem Training.,back,A2
existieren,Das Problem existiert seit Jahren.,to exist,A1
die Masse,Die Masse drängte zum Ausgang.,mass,B2
singen,Sie singt im Chor ihrer Schule.,to sing,A2
die Theorie,Die Theorie erwies sich als richtig.,theory,B1
der Inhalt,Der Inhalt passt in die Tasche.,content,B1
scheitern,Der Plan scheiterte an der Umsetzung.,to fail,B1
das Ereignis,Das Ereignis zog viele Zuschauer an.,event,B1
lediglich,Es war lediglich ein Missverständnis.,merely,B1
organisch,Organische Lebensmittel sind gesünder.,organic,B2
glücklich,Er ist glücklich über das Ergebnis.,happy,A1
der Rest,Ich habe den Rest des Essens aufbewahrt.,rest,A2
der Wunsch,Der Wunsch ging endlich in Erfüllung.,wish,A2
beschließen,Der Rat beschließt neue Regeln.,to decide,B1
dick,Er schnitt eine dicke Scheibe Brot ab.,thick,A2
riesig,Der Baum im Garten ist riesig.,huge,B1
heutig,Die heutige Situation ist schwierig.,present-day,B1
hallo,"Hallo, schön dich wiederzusehen!",hello,A1
das Museum,Das Museum zeigt antike Kunst.,museum,A2
die Farbe,Die Farbe an der Wand ist verblasst.,color,A1
zwölf,Zwölf Schüler bestanden die Prüfung.,twelve,
per,Die Kosten betragen 10 Euro per Meter.,by,B1
regelmäßig,Regelmäßige Pausen sind notwendig.,regular,B1
her,Vor einem Jahr kam ich nach Deutschland.,from (something),B1
wechseln,Er wechselt den Reifen selbst.,to change,A2
einstellen,Sie hat das Gerät korrekt eingestellt.,to adjust,B1
das Theater,Wir gehen heute Abend ins Theater.,theater,A2
der König,Der König regiert das Land streng.,king,B1
das Ohr,Das Ohr ist ein empfindliches Organ.,ear,A2
fördern,Der Verein fördert junge Talente.,to promote,B1
elektrisch,Das elektrische Auto fährt leise weiter.,electric,B1
der Aufbau,Der Aufbau dauert mehrere Stunden.,construction,C1
der Beitrag,Sein Beitrag war sehr wertvoll.,contribution,B1
der Februar,Der Februar ist der kürzeste Monat.,February,B2
durchführen,Er führte das Experiment präzise durch.,to carry out,A2
