#separator:tab
#html:false
#tags column:6
#deck:German Advanced (2001-3000)
Ei	egg	Das Ei kocht in heißem Wasser.			lernflow
müde	tired	Nach dem Lauf war ich sehr müde.			lernflow
sparen	to save	Er spart für ein neues Fahrrad.			lernflow
quasi	almost	Das Projekt ist quasi abgeschlossen.			lernflow
Wiener	Viennese	Die Wiener Oper ist weltbekannt.			lernflow
blöd	stupid	Es war wirklich eine blöde Entscheidung.			lernflow
Soziologie	sociology	Soziologie erklärt soziale Strukturen.			lernflow
tätig	active	Er ist seit Jahren in der Firma tätig.			lernflow
Afghanistan	Afghanistan	Afghanistan liegt in Südasien.			lernflow
Flucht	flight	Die Flucht gelang trotz großer Gefahr.			lernflow
absehen	to foresee	Man konnte das Problem schon absehen.			lernflow
Afrika	Africa	Afrika hat viele verschiedene Kulturen.			lernflow
regional	regional	Die regionale Küche war lecker.			lernflow
strategisch	strategic	Die strategische Planung bringt Erfolg.			lernflow
exakt	exact	Die exakte Zahl wurde genannt.			lernflow
fortsetzen	to continue	Nach der Pause setzte er fort.			lernflow
steigern	to increase	Er steigerte seine Leistung deutlich.			lernflow
Übersetzung	translation	Die Übersetzung war fehlerfrei.			lernflow
womöglich	possibly	Womöglich kommt er morgen zurück.			lernflow
Argument	argument	Sein Argument überzeugte die meisten.			lernflow
berühren	to touch	Er berührt vorsichtig den heißen Topf.			lernflow
Kino	cinema	Das Kino zeigt heute einen neuen Film.			lernflow
Dauer	duration	Die Dauer des Films ist zwei Stunden.			lernflow
klappen	to fold	Der Plan klappte besser als erwartet.			lernflow
Polen	Poland	Polen hat viele schöne Städte.			lernflow
golden	gold	Die goldene Uhr gehört meinem Opa.			lernflow
klären	to clear up	Er klärt die Situation schnell.			lernflow
sauber	clean	Die Wohnung ist jetzt endlich sauber.			lernflow
Bahnhof	(railway) station	Der Bahnhof ist immer sehr belebt.			lernflow
Bewertung	assessment	Die Bewertung der Arbeit war positiv.			lernflow
Messung	measuring	Die Messung ergibt klare Werte.			lernflow
gewaltig	enormous	Der Sturm hinterließ gewaltige Schäden.			lernflow
relevant	relevant	Die Daten sind für die Studie relevant.			lernflow
Israel	Israel	Israel ist ein Land im Nahen Osten.			lernflow
Lippe	lip	Sie biss sich nervös auf die Lippe.			lernflow
BRD	Federal Republic (of Germany)	Die BRD feiert dieses Jahr ein Jubiläum.			lernflow
Charakter	character	Er hat einen starken Charakter.			lernflow
antreten	to take up	Er tritt seine neue Stelle an.			lernflow
Lehre	apprenticeship	Die Lehre erklärt die Grundlagen.			lernflow
aufpassen	to pay attention	Pass bitte auf die Kinder auf!			lernflow
Verletzung	injury	Die Verletzung am Knie heilte langsam.			lernflow
CSU	CSU	Die CSU gewinnt in Bayern viele Stimmen.			lernflow
Direktor	director	Der Direktor begrüßte die Gäste.			lernflow
enttäuschen	to disappoint	Er enttäuscht seine Eltern nie.			lernflow
fangen	to catch	Er fing den Ball mit einer Hand.			lernflow
Träne	tear	Eine Träne rollt über seine Wange.			lernflow
damalig	at that time	Die damalige Entscheidung war schwer.			lernflow
dreißig	thirty	Dreißig Minuten vergingen schnell.			lernflow
mathematisch	mathematical	Die mathematische Lösung ist korrekt.			lernflow
Pflicht	duty	Es ist meine Pflicht, zu helfen.			lernflow
realisieren	to realize	Er realisierte seinen Traum endlich.			lernflow
einrichten	to furnish	Er richtete die Wohnung gemütlich ein.			lernflow
Käufer	buyer	Der Käufer verhandelte über den Preis.			lernflow
Rennen	race	Das Rennen beginnt um zehn Uhr.			lernflow
Täter	culprit	Der Täter wurde schnell gefasst.			lernflow
befreien	to free	Er befreite den Vogel aus dem Käfig.			lernflow
ordnen	to arrange	Er ordnet die Akten alphabetisch.			lernflow
Bezeichnung	name	Die Bezeichnung war irreführend.			lernflow
verteidigen	to defend	Er verteidigte seine Position.			lernflow
Anlass	occasion	Der Anlass der Feier war ihr Geburtstag.			lernflow
medial	media	Die mediale Präsenz des Events war groß.			lernflow
hauptsächlich	mainly	Er ist hauptsächlich beschäftigt.			lernflow
Hersteller	manufacturer	Der Hersteller garantiert hohe Qualität.			lernflow
